smoke, eyes, sponge, exchange, balance, clam, summer, desk, girls, pancake, bit, stitch, peace, insect, owner, sleep, thought
4fda, d, 1, 0, 0, 0, 61305, 1, 112, 0, engine, 1.000000, 1, 48, 220567.750000, 0.160156, 0
0, w, 0, 1, 0, 0, 10, 0, 20964, 1, plants, 0.000000, -2, 39995, 0.000000, 60306.187500, 0
0, E, 0, 1, 1, 1, 1, 1, 27238, 1, minute, 0.000000, 43, 0, -0.125000, 65106.867188, 0
b2, m, 1, 1, 0, 0, 1, 116, 1, 1, river, 131.711731, 0, 41406, 2.000000, 0.118164, 0
73ba, e, 0, 1, 0, 0, 50243, 2, 0, 1, help, 0.000000, 0, 410, 1.000000, -0.002930, 0
4, &, 1, 1, 1, 1, 0, 0, 0, 0, wax, 75.570885, 0, 1, 0.000000, 0.000000, 0
3, M, 1, 1, 1, 1, 5004, 6, 7, 1, bells, 1.000000, 1, 0, 220493.375000, 1.000000, 1
1, 0, 1, 0, 1, 1, 73, 0, 34, 0, swim, 0.000000, -1, 1, 0.000000, 0.000000, 1
0, n, 0, 1, 1, 1, 0, -2, 1, 0, event, 0.000000, 107, 0, 1.000000, 0.000000, 1
1, }, 1, 0, 0, 1, 0, 126, 0, 1, mist, 224.177536, 73, 1349, -386.687500, 1.000000, 1
