smoke, eyes, sponge, exchange, balance, clam, summer, desk, girls, pancake, bit, stitch, peace, insect, owner, sleep, thought
3, %, 1, 0, 1, 0, 219, -66, 435, 1, bomb, -0.002571, 5, 1, -588.250000, -736.184570, 0
a6b, :, 1, 0, 1, 0, 2067, 1, 14, 1, spy, -0.003080, -31, 250, -102293.625000, 0.002930, 0
6c7, S, 1, 1, 1, 0, 0, -128, 10, 0, spoon, 0.000000, -1, 27029, 0.500000, -15435.285156, 0
5, s, 1, 1, 1, 0, 3, 39, 59, 0, class, -0.000000, -1, 0, 33711.500000, -2286.391602, 0
2, $, 1, 1, 1, 0, 57, -55, 14, 0, mitten, -0.000000, -2, 18, -19.312500, -8073.629883, 0
552, Z, 0, 0, 0, 1, 33, -1, 1, 0, feast, -102.565201, 5, 6, 0.375000, -148.159180, 1
f, q, 1, 0, 1, 0, 0, 59, 25089, 1, silver, 0.000005, -7, 11, -875.062500, -0.064453, 0
1, w, 0, 0, 0, 1, 16, 1, 228, 1, pig, 0.000527, -2, 11, 0.875000, -8385.376953, 1
0, !, 0, 1, 1, 1, 4111, -1, 5, 0, vein, -3.368647, -73, 21, -0.125000, -1369.793945, 1
3, |, 1, 0, 0, 0, 4906, 4, 129, 0, expert, 0.000000, -1, 0, 42598.062500, 1.036133, 0
2d8, 8, 0, 0, 0, 0, 404, -4, 2, 0, move, 22.569378, -16, 27, -43.687500, -0.704102, 1
27e0, V, 0, 0, 0, 1, 57, 0, 242, 0, shape, 0.000055, 59, 1033, 3.500000, 4.071289, 1
26ac, ~, 1, 1, 0, 0, 2, -1, 43, 1, lead, 0.000025, 109, 14717, 0.437500, -0.000977, 1
501, o, 1, 0, 0, 0, 2, 0, 23262, 1, crown, -3.077137, -57, 587, -19.125000, 0.000977, 0
5, s, 0, 0, 0, 0, 3650, -2, 830, 1, cats, -7.575945, 0, 5, 33711.500000, -0.001953, 0
5, |, 1, 0, 1, 1, 41, 31, 1218, 0, sheet, -10.594723, 0, 0, -0.062500, 0.008789, 0
26ac, ~, 1, 1, 0, 0, 2, 12, 242, 1, lead, -0.000233, 109, 1033, 0.437500, 0.001953, 1
362e, 1, 1, 0, 0, 0, 101, 2, 23527, 1, duck, 0.006152, -99, 1, 11779.625000, 9.440430, 1
4, p, 1, 1, 0, 1, 78, -15, 2, 0, love, 0.000155, -4, 16, 7.250000, -0.017578, 1
1d7, M, 0, 1, 1, 0, 15, 65, 10, 0, lamp, -19.717577, -63, 30, -1.187500, -0.754883, 1
552, Z, 0, 0, 1, 1, 33, 1, 1, 0, feast, 0.000001, 5, 3353, -9673.687500, -0.747070, 1
3, %, 1, 0, 1, 0, 219, -12, 2726, 1, bomb, -0.002571, 5, 1, -588.250000, 57.578125, 0
1, g, 1, 1, 1, 0, 1639, -2, 17372, 1, yoke, 0.000000, 12, 4825, 16.937500, 301.803711, 0
4a, |, 0, 0, 1, 0, 4934, 119, 1, 0, test, -0.000058, 0, 0, -0.062500, -2.417969, 1
0, 5, 1, 0, 1, 0, 15551, 43, 15074, 1, snail, -114.640808, 0, 106, -1.500000, 0.050781, 0
6b49, 5, 1, 0, 0, 1, 3428, -52, 305, 0, temper, -0.030383, 0, 24064, 0.000000, 22800.140625, 1
e6c, G, 0, 1, 0, 1, 0, -1, 1223, 1, cart, 0.000001, 26, 321, 39.937500, -0.183594, 0
92, y, 1, 1, 0, 1, 3, -42, 80, 0, sheet, -0.008878, -8, 3978, 30273.875000, -21.444336, 0
3, Q, 1, 0, 1, 1, 1223, -11, 11275, 0, owl, 0.000001, -1, 0, -10268.187500, 23821.095703, 0
8f, K, 0, 1, 0, 0, 1, 1, 12, 0, home, -0.000830, -18, 6496, 1576.625000, 9.954102, 0
a, <, 0, 0, 0, 1, 3, -63, 48, 1, steam, -0.113140, -52, 0, 1.312500, -0.001953, 1
105f, _, 1, 0, 1, 1, 3803, -113, 2, 0, woman, 0.040591, -7, 176, 1.312500, -13.939453, 1
0, ?, 1, 0, 0, 1, 3, -4, 2, 1, income, -0.025656, 7, 37, -262126.437500, -477.691406, 1
120, l, 1, 1, 0, 0, 40, -50, 10, 1, lamp, -0.007008, -1, 3921, -3.187500, 1633.438477, 0
35b0, :, 0, 1, 0, 0, 962, -1, 42, 0, pin, -0.000000, -5, 17, 2.250000, 562.333008, 1
120, t, 0, 1, 1, 1, 10, 3, 0, 0, lamp, 0.980060, 0, 2, -0.062500, 0.002930, 0
84, q, 1, 1, 1, 1, 23764, 0, 1, 1, mark, -0.000002, 47, 3297, 1.000000, -226.106445, 1
34, n, 1, 0, 1, 0, 0, 42, 18788, 0, print, -4.114277, 0, 0, 207.750000, -0.003906, 0
2, 9, 1, 1, 1, 1, 3409, -91, 25211, 1, title, 0.007654, -58, 1974, -6.750000, -6.230469, 0
3a, a, 0, 0, 1, 0, 316, 26, 476, 0, flag, -2.215743, -2, 750, 0.000000, -14.408203, 0
7, h, 1, 0, 1, 0, 23894, 1, 8, 0, drawer, 223.439957, 9, 260, -2379.750000, -959.613281, 1
efe, [, 1, 0, 0, 1, 0, -2, 0, 0, cough, 0.040591, -7, 2, 352.187500, 16000.449219, 0
362e, <, 0, 0, 0, 1, 101, -1, 23527, 1, duck, -1.501280, -99, 1, 11779.625000, 9.440430, 1
26, q, 0, 0, 0, 1, 2397, 30, 14, 1, floor, -0.000004, -1, 2020, -13845.687500, 0.306641, 1
2486, 3, 1, 0, 1, 1, 78, -69, 23, 0, shoes, -0.005692, -9, 93, -428.125000, 0.000977, 1
ba, 0, 1, 0, 0, 1, 60, -6, 9357, 1, need, 0.000003, 127, 3, 259.750000, -1.102539, 1
152b, U, 1, 0, 1, 1, 20, 62, 488, 1, polish, 0.366274, 0, 372, 0.000000, -0.001953, 0
3c2c, L, 1, 0, 1, 1, 191, 16, 2169, 1, chair, 0.003681, -12, 836, -0.125000, -0.010742, 0
0, X, 0, 0, 0, 0, 8, 7, 9, 0, egg, 0.077813, 0, 45755, -30.562500, 0.010742, 1
2, z, 0, 1, 1, 0, 51583, -13, 26700, 1, shape, 0.000287, 6, 101, -7.000000, 303.291016, 1
552, Z, 1, 0, 0, 1, 33, 3, 121, 0, feast, 0.047233, 0, 6, 0.375000, 822.513672, 1
51, (, 1, 0, 0, 0, 4934, 1, 0, 0, box, -1.002418, 0, 100, -1958.000000, 58.490234, 0
152b, v, 0, 0, 0, 0, 57881, 24, 19284, 1, polish, 0.000002, 0, 641, -0.125000, -0.001953, 0
3, 4, 0, 1, 1, 0, 6608, 4, 11800, 0, expert, 0.000000, 0, 30, 27.437500, -0.034180, 0
1, w, 0, 0, 0, 1, 16, 1, 0, 1, pig, -0.000000, -2, 11, 0.875000, -8385.376953, 1
3, h, 1, 1, 0, 1, 56, -28, 25, 1, suit, 1.708596, 0, 0, 1.125000, 0.059570, 1
62, O, 1, 1, 0, 0, 17, 0, 10430, 1, pain, -4.577743, -4, 88, 256869.500000, -0.076172, 0
3, %, 1, 0, 1, 0, 219, -12, 2854, 1, bomb, -0.002571, 5, 1, -588.250000, 57.578125, 0
d, m, 1, 0, 0, 1, 1282, -1, 126, 1, profit, 191.972946, -2, 4, -11563.312500, -0.000977, 1
a97, :, 1, 0, 1, 0, 51837, -1, 131, 0, porter, 0.000001, -31, 250, -2103.937500, 0.002930, 1
a, I, 1, 1, 0, 1, 477, 40, 1505, 1, light, 2.846508, 7, 3805, 5566.500000, 0.001953, 0
5, s, 0, 0, 0, 0, 3650, -15, 17410, 1, cats, -7.575945, 0, 5, 33711.500000, -0.017578, 0
366, z, 1, 0, 1, 0, 15561, 61, 2, 0, ice, -0.007353, -6, 57, -5384.250000, -498.897461, 1
1, X, 0, 1, 0, 0, 19, -1, 17372, 1, zoo, 0.000000, -11, 29016, -23.812500, 301.803711, 0
20, ~, 1, 1, 0, 1, 167, -14, 110, 1, window, -0.001288, -1, 2020, -38.187500, 0.306641, 0
6c, A, 0, 0, 1, 0, 1063, 3, 41, 1, yam, -13.819421, 58, 4, 118986.875000, -0.495117, 0
c, 2, 1, 0, 0, 0, 3858, -60, 19, 1, sticks, -0.007284, 3, 64668, -6.437500, -120.537109, 1
933, t, 1, 1, 0, 0, 1, 10, 2, 0, fifth, -0.000000, -19, 2529, 438.750000, -0.006836, 0
70, Q, 1, 0, 0, 0, 427, -78, 97, 1, rice, -0.235083, 3, 84, -11996.937500, 0.001953, 1
1b47, -, 0, 1, 0, 0, 4755, -122, 1, 0, book, 0.007101, -3, 2, -213.375000, -0.002930, 1
2, z, 0, 0, 0, 0, 12631, -2, 0, 0, shape, 0.000209, 6, 9, -0.062500, 2.594727, 1
3, |, 0, 1, 0, 1, 4906, 21, 129, 1, expert, 8.622203, -2, 118, 42598.062500, 1.036133, 1
0, H, 0, 0, 1, 1, 19, 6, 1397, 1, voice, -0.000001, -28, 4587, -6975.625000, -0.024414, 0
1fa, i, 1, 0, 1, 0, 3, -1, 4167, 0, weight, -17.373379, 81, 0, -0.062500, 0.005859, 1
6, i, 1, 0, 0, 0, 218, -8, 4, 1, base, -1.927904, 0, 253, 0.000000, 0.083984, 1
0, &, 1, 1, 1, 0, 1, -6, 10781, 1, care, 0.000350, -1, 0, 13314.187500, 0.003906, 1
